,,,,,,,
,,,,,,,
Grade,Program Code,Program Name,School Name,Requests per seat,Total Requests,Total Assigned,Total Seats
1,SB,SB: Spanish Biliteracy,Muir (John) ES,0.0,0,21,22
1,GE,GE: General Education,Serra (Junipero) ES,0.1,2,17,22
1,SB,SB: Spanish Biliteracy,Serra (Junipero) ES,0.0,0,22,22
1,AO,AO: SDC - Auditory/Oral,Lafayette ES,0.0,0,2,3
1,GE,GE: General Education,Lafayette ES,0.2,13,78,84
1,AF,AF: SDC - Mild/Mod Autism Focus,Lakeshore ES,0.0,0,4,4
1,GE,GE: General Education,Lakeshore ES,0.1,8,62,63
1,GE,GE: General Education,Lawton K-8,1.0,60,63,63
1,MS,MS: SDC - Extensive Services,Lawton K-8,0.0,0,3,3
1,GE,GE: General Education,Flynn (Leonard R) ES,0.1,2,16,22
1,SE,SE: Spanish Immersion (Non-Native),Flynn (Leonard R) ES,0.1,2,18,19
1,SN,SN: Spanish Immersion (Spanish Speakers),Flynn (Leonard R) ES,0.2,4,26,24
1,FB,FB: Filipino FLES,Longfellow ES,0.1,2,19,22
1,GE,GE: General Education,Longfellow ES,0.1,4,26,42
1,MM,MM: SDC - Mild to Moderate,Longfellow ES,0.0,0,5,5
1,SB,SB: Spanish Biliteracy,Longfellow ES,0.0,1,20,22
1,SE,SE: Spanish Immersion (Non-Native),Marshall ES,0.1,2,15,15
1,SN,SN: Spanish Immersion (Spanish Speakers),Marshall ES,0.1,4,28,28
1,AF,AF: SDC - Mild/Mod Autism Focus,McKinley ES,0.0,0,4,4
1,GE,GE: General Education,McKinley ES,0.3,13,40,42
1,AF,AF: SDC - Mild/Mod Autism Focus,Miraloma ES,0.0,0,2,2
1,GE,GE: General Education,Miraloma ES,0.2,10,59,63
1,CB,CB: Cantonese Biliteracy,Moscone (George R) ES,0.0,1,12,22
1,GE,GE: General Education,Moscone (George R) ES,0.1,2,22,22
1,SB,SB: Spanish Biliteracy,Moscone (George R) ES,0.1,2,22,22
1,NS,NS: Spanish Newcomer,Mission Education Center ES,0.0,0,6,11
1,CB,CB: Cantonese Biliteracy,Monroe ES,0.1,2,22,22
1,GE,GE: General Education,Monroe ES,0.1,3,21,22
1,SE,SE: Spanish Immersion (Non-Native),Monroe ES,0.1,1,17,18
1,SN,SN: Spanish Immersion (Spanish Speakers),Monroe ES,0.0,0,26,26
1,GE,GE: General Education,New Traditions ES,0.3,12,44,44
1,GE,GE: General Education,Ortega (Jose) ES,0.2,8,44,44
1,ME,ME: Mandarin Immersion (Non-Native),Ortega (Jose) ES,1.2,11,9,9
1,MN,MN: Mandarin Immersion (Mandarin Speakers),Ortega (Jose) ES,0.2,3,13,13
1,GE,GE: General Education,Sunset ES,0.9,58,63,63
1,SA,SA: SDC - Extensive Services Autism Focus,Sunset ES,0.0,0,3,3
1,GE,GE: General Education,Revere (Paul) K-8,0.0,1,15,21
1,MM,MM: SDC - Mild to Moderate,Revere (Paul) K-8,0.0,0,5,5
1,SE,SE: Spanish Immersion (Non-Native),Revere (Paul) K-8,0.1,1,10,10
1,SN,SN: Spanish Immersion (Spanish Speakers),Revere (Paul) K-8,0.1,2,22,22
1,GE,GE: General Education,Stevenson (Robert Louis) ES,0.4,28,64,64
1,MM,MM: SDC - Mild to Moderate,Stevenson (Robert Louis) ES,0.0,0,4,4
1,AF,AF: SDC - Mild/Mod Autism Focus,Parks (Rosa) ES,0.0,0,2,3
1,GE,GE: General Education,Parks (Rosa) ES,0.1,3,21,21
1,JB,JB: Japanese Bilingual Bicultural Prgram,Parks (Rosa) ES,0.1,3,22,22
1,GE,GE: General Education,Redding ES,0.0,0,33,44
1,GE,GE: General Education,Rooftop K-8,0.4,25,63,66
1,GE,GE: General Education,Wo (Yick) ES,0.2,9,40,42
1,SA,SA: SDC - Extensive Services Autism Focus,Wo (Yick) ES,0.0,0,5,5
1,GE,GE: General Education,SF Public Montessori ES,0.7,16,22,22
1,GE,GE: General Education,Sanchez ES,0.0,1,15,22
1,MM,MM: SDC - Mild to Moderate,Sanchez ES,0.0,0,0,2
1,SB,SB: Spanish Biliteracy,Sanchez ES,0.1,3,22,22
1,GE,GE: General Education,Sheridan ES,0.0,2,33,44
1,AF,AF: SDC - Mild/Mod Autism Focus,Sherman ES,0.0,0,4,4
1,GE,GE: General Education,Sherman ES,0.2,10,46,42
1,GE,GE: General Education,Malcolm X Academy ES,0.0,0,18,22
1,GE,GE: General Education,Spring Valley Science ES,0.1,3,17,22
1,MM,MM: SDC - Mild to Moderate,Spring Valley Science ES,0.0,0,0,3
1,GE,GE: General Education,King (Thomas Starr) ES,0.0,1,8,22
1,ME,ME: Mandarin Immersion (Non-Native),King (Thomas Starr) ES,0.2,4,19,19
1,MN,MN: Mandarin Immersion (Mandarin Speakers),King (Thomas Starr) ES,0.0,0,23,23
1,SA,SA: SDC - Extensive Services Autism Focus,King (Thomas Starr) ES,0.0,0,3,4
1,GE,GE: General Education,Sunnyside ES,0.1,9,63,63
1,MS,MS: SDC - Extensive Services,Sunnyside ES,0.0,0,3,3
1,CB,CB: Cantonese Biliteracy,Sutro ES,0.0,0,17,22
1,GE,GE: General Education,Sutro ES,0.5,10,11,22
1,AF,AF: SDC - Mild/Mod Autism Focus,Tenderloin Community ES,0.0,0,2,3
1,GE,GE: General Education,Tenderloin Community ES,0.0,0,41,42
1,CB,CB: Cantonese Biliteracy,Ulloa ES,0.3,6,22,22
1,GE,GE: General Education,Ulloa ES,0.4,27,66,66
1,CB,CB: Cantonese Biliteracy,Visitacion Valley ES,0.0,0,9,22
1,GE,GE: General Education,Visitacion Valley ES,0.0,1,25,22
1,GE,GE: General Education,Chin (John Yehall) ES,0.1,4,31,44
1,CE,CE: Cantonese Immersion (All English),West Portal ES,1.1,15,14,14
1,CN,CN: Cantonese Immersion (Cantonese Speakers),West Portal ES,0.2,4,19,19
1,GE,GE: General Education,West Portal ES,0.5,30,66,66
10,AF,AF: SDC - Mild/Mod Autism Focus,Lincoln (Abraham) HS,0.7,2,3,3
10,ED,ED: SDC - SOAR,Lincoln (Abraham) HS,0.0,0,3,3
10,GE,GE: General Education,Lincoln (Abraham) HS,0.1,68,461,460
10,MM,MM: SDC - Mild to Moderate,Lincoln (Abraham) HS,0.2,2,9,9
10,MS,MS: SDC - Extensive Services,Lincoln (Abraham) HS,0.7,2,3,3
10,NX,NX: Newcomer Program,Lincoln (Abraham) HS,0.0,2,58,60
10,SA,SA: SDC - Extensive Services Autism Focus,Lincoln (Abraham) HS,0.0,0,4,5
10,GE,GE: General Education,Balboa HS,0.1,37,300,300
10,MM,MM: SDC - Mild to Moderate,Balboa HS,0.1,1,7,8
10,MS,MS: SDC - Extensive Services,Balboa HS,0.1,1,7,8
10,ED,ED: SDC - SOAR,Galileo HS,0.0,0,3,4
10,GE,GE: General Education,Galileo HS,0.1,23,390,385
10,MM,MM: SDC - Mild to Moderate,Galileo HS,0.1,1,8,7
10,NX,NX: Newcomer Program,Galileo HS,0.0,1,56,100
10,ED,ED: SDC - SOAR,Washington (George) HS,0.0,0,2,2
10,GE,GE: General Education,Washington (George) HS,0.1,39,500,500
10,MM,MM: SDC - Mild to Moderate,Washington (George) HS,0.0,0,1,9
10,MS,MS: SDC - Extensive Services,Washington (George) HS,0.0,0,14,14
10,GX,GX: General Education Newcomer,SF International HS,0.0,0,10,10
10,NC,NC: Chinese Newcomer,SF International HS,0.0,0,0,10
10,NS,NS: Spanish Newcomer,SF International HS,0.0,0,20,20
10,NX,NX: Newcomer Program,SF International HS,0.0,0,79,100
10,GE,GE: General Education,O'Connell (John) HS,0.1,7,121,121
10,MM,MM: SDC - Mild to Moderate,O'Connell (John) HS,0.0,0,8,10
9,AF,AF: SDC - Mild/Mod Autism Focus,Lowell HS,-,13,0,0
10,AF,AF: SDC - Mild/Mod Autism Focus,Lowell HS,2.0,2,1,1
11,AF,AF: SDC - Mild/Mod Autism Focus,Lowell HS,0.2,1,5,5
12,AF,AF: SDC - Mild/Mod Autism Focus,Lowell HS,0.0,0,5,5
13,CA,,Lowell HS,1.1,21,20,20
10,ED,ED: SDC - SOAR,Mission HS,0.0,0,2,3
10,GE,GE: General Education,Mission HS,0.1,14,185,200
10,MM,MM: SDC - Mild to Moderate,Mission HS,0.1,1,6,7
10,MS,MS: SDC - Extensive Services,Mission HS,0.0,0,3,3
10,NX,NX: Newcomer Program,Mission HS,0.0,0,97,100
10,SA,SA: SDC - Extensive Services Autism Focus,Mission HS,0.0,0,1,2
10,AF,AF: SDC - Mild/Mod Autism Focus,Jordan (June) HS,0.2,1,5,6
