,Block Group,Cencus Tract,Weighted HH Inc Int,Median HH Inc Int,Geoid1,Weighted HH Inc,Median HH Income_x,Total (Household Count Census 2020.csv),Total: (Population Race P3 Census 2020.csv),Total: (Population Race P8 Census 2020.csv),Total:!!White alone,Total:!!Asian alone,Total:!!Two or More Races,Total:!!Black or African American alone,Total:!!Some Other Race alone,Total:!!American Indian and Alaska Native alone,Total:!!Native Hawaiian and Other Pacific Islander alone,% White,% Asian,% Two or More,% Black,% Other,% American Indian,% Pacific Islander,Median HH Income_y,23-24 K count,24-25 K count,Avg K Count,23-24 FRL K count,24-25 FRL K count,Avg FRL K Count,23-24 Asian,23-24 Hispanic,23-24 White,23-24 Black,23-24 Other,24-25 Asian,24-25 Hispanic,24-25 White,24-25 Black,24-25 Other,Avg K Asian,Avg K Hispanic,Avg K White,Avg K Black,Avg K Other,objectid,statefp,countyfp,trctce,geoid,name_,namelsad,mtfcc,funcstat,aland,awater,intptlat,intptlon,Shape__Area,Shape__Length
11,1,227.02,3622,216875,6075022702,"$3,622","$216,875",595,"1,128","1,128",716,229,118,19,38,8,0,63.5%,20.3%,10.5%,1.7%,3.4%,0.7%,0.0%,"$216,875",1.0,1.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,66,6,75,,6075022702,227.02,Census Tract 227.02,G5020,S,295531,0,37.7626143,-122.3955143,3.0217533094401e-05,0.0219643205152717
12,1,227.04,6357,206042,6075022704,"$6,357","$206,042","1,099","1,601","1,601",917,341,227,52,52,8,4,57.3%,21.3%,14.2%,3.2%,3.2%,0.5%,0.2%,"$206,042",6.0,9.0,8.0,4.0,,,0.0,4.0,0.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,3.0,4.0,1.0,1.0,1.0,1719,6,75,,6075022704,227.04,Census Tract 227.04,G5020,S,544609,0,37.7609519,-122.4019893,5.5684558901703e-05,0.0289232661228601
13,1,228.02,1305,134000,6075022802,"$1,305","$134,000",347,824,824,340,193,126,28,122,9,6,41.3%,23.4%,15.3%,3.4%,14.8%,1.1%,0.7%,"$134,000",6.0,3.0,5.0,3.0,,,0.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,476,6,75,,6075022802,228.02,Census Tract 228.02,G5020,S,291253,0,37.7589131,-122.4062337,2.97791466437047e-05,0.0296418563678243
14,1,607.01,1715,99030,6075060701,"$1,715","$99,030",617,"1,043","1,043",512,384,97,23,21,3,3,49.1%,36.8%,9.3%,2.2%,2.0%,0.3%,0.3%,"$99,030",3.0,2.0,3.0,1.0,,,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,770,6,75,,6075060701,607.01,Census Tract 607.01,G5020,S,1292507,742331,37.7743713,-122.3835948,0.0002080902750094,0.0673846737012472
15,1,607.02,2697,149483,6075060702,$0,$0,"1,488","3,142","3,142",993,"1,537",302,160,129,15,6,31.6%,48.9%,9.6%,5.1%,4.1%,0.5%,0.2%,,4.0,8.0,6.0,2.0,,,0.0,3.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,761,6,75,,6075060702,607.02,Census Tract 607.02,G5020,S,548503,0,37.768089,-122.4003072,5.60879943805048e-05,0.0336526153931054
16,1,607.03,4654,169000,6075060703,"$4,654","$169,000",981,"1,804","1,804",603,827,159,78,132,4,1,33.4%,45.8%,8.8%,4.3%,7.3%,0.2%,0.1%,"$169,000",1.0,2.0,2.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,994,6,75,,6075060703,607.03,Census Tract 607.03,G5020,S,346694,0,37.7749279,-122.3957079,3.54549338226207e-05,0.0307532764714659
17,1,614.02,2840,160335,6075061402,"$2,840","$160,335",631,"1,349","1,349",759,314,185,40,36,5,10,56.3%,23.3%,13.7%,3.0%,2.7%,0.4%,0.7%,"$160,335",5.0,9.0,7.0,0.0,,,1.0,2.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,995,6,75,,6075061402,614.02,Census Tract 614.02,G5020,S,393751,0,37.7565832,-122.3947008,4.02575556108786e-05,0.026377667736503
18,1,615.01,2697,149483,6075061501,$0,$0,544,809,809,499,203,56,38,11,0,2,61.7%,25.1%,6.9%,4.7%,1.4%,0.0%,0.2%,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787,6,75,,6075061501,615.01,Census Tract 615.01,G5020,S,416352,0,37.7878384,-122.4001079,4.25860380346421e-05,0.0299364059570182
19,1,615.02,2697,149483,6075061502,$0,$0,933,"1,452","1,452",791,515,85,13,45,3,0,54.5%,35.5%,5.9%,0.9%,3.1%,0.2%,0.0%,,1.0,4.0,3.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,996,6,75,,6075061502,615.02,Census Tract 615.02,G5020,S,215314,0,37.7817147,-122.3929796,2.20211950363591e-05,0.0233497021386343
20,1,615.03,2697,149483,6075061503,$0,$0,"1,806","2,010","2,010",708,935,144,78,128,16,1,35.2%,46.5%,7.2%,3.9%,6.4%,0.8%,0.0%,,12.0,13.0,13.0,9.0,,,5.0,2.0,1.0,2.0,2.0,5.0,4.0,0.0,1.0,3.0,5.0,3.0,1.0,2.0,3.0,993,6,75,,6075061503,615.03,Census Tract 615.03,G5020,S,234864,0,37.7857922,-122.3965353,2.40221093008586e-05,0.0214894887020771
21,1,615.04,2697,149483,6075061504,$0,$0,771,"1,294","1,294",490,602,95,66,35,5,1,37.9%,46.5%,7.3%,5.1%,2.7%,0.4%,0.1%,,2.0,1.0,2.0,0.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,776,6,75,,6075061504,615.04,Census Tract 615.04,G5020,S,95344,0,37.7852562,-122.3924125,9.75167813521693e-06,0.0141154554413989
